"DR1EXMER.Code.or.Value","DR1EXMER.Value.Description","DR1EXMER.Count","DR1EXMER.Cumulative","DR1EXMER.Skip.to.Item"
"16 to 91","Range of Values",9338,9338,NA
".","Missing",424,9762,NA
