"URXTTC.Code.or.Value","URXTTC.Value.Description","URXTTC.Count","URXTTC.Cumulative","URXTTC.Skip.to.Item"
"7.9 to 1130","Range of Values",2640,2640,NA
".","Missing",115,2755,NA
