"DRD370E.Code.or.Value","DRD370E.Value.Description","DRD370E.Count","DRD370E.Cumulative","DRD370E.Skip.to.Item"
"1","Yes",532,532,""
"2","No",4350,4882,"DRD370F"
".","Missing",4662,9544,""
