"URDUTLLC.Code.or.Value","URDUTLLC.Value.Description","URDUTLLC.Count","URDUTLLC.Cumulative","URDUTLLC.Skip.to.Item"
"0","At or above the detection limit",2507,2507,NA
"1","Below lower detection limit",21,2528,NA
".","Missing",77,2605,NA
