"DXXL4BMC.Code.or.Value","DXXL4BMC.Value.Description","DXXL4BMC.Count","DXXL4BMC.Cumulative","DXXL4BMC.Skip.to.Item"
"4.19 to 40.79","Range of Values",6037,6037,NA
".","Missing",1683,7720,NA
