"MCQ240aa.Code.or.Value","MCQ240aa.Value.Description","MCQ240aa.Count","MCQ240aa.Cumulative","MCQ240aa.Skip.to.Item"
"22 to 32","Range of Values",3,3,NA
"80","80 years or older",0,3,NA
"77777","Refused",0,3,NA
"99999","Don't know",0,3,NA
".","Missing",9767,9770,NA
