"LBXBFOA.Code.or.Value","LBXBFOA.Value.Description","LBXBFOA.Count","LBXBFOA.Cumulative","LBXBFOA.Skip.to.Item"
"0.07 to 0.7","Range of Values",1929,1929,NA
".","Missing",204,2133,NA
