"VTQ280A.Code.or.Value","VTQ280A.Value.Description","VTQ280A.Count","VTQ280A.Cumulative","VTQ280A.Skip.to.Item"
"1","Yes",132,132,NA
"2","No",1329,1461,NA
"7","Refused",3,1464,NA
"9","Don't know",0,1464,NA
".","Missing",25,1489,NA
