"WTSPH43.Code.or.Value","WTSPH43.Value.Description","WTSPH43.Count","WTSPH43.Cumulative","WTSPH43.Skip.to.Item"
"0.0000000 to 789336.2903500","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
