"DXXPT85Y.Code.or.Value","DXXPT85Y.Value.Description","DXXPT85Y.Count","DXXPT85Y.Cumulative","DXXPT85Y.Skip.to.Item"
"64.2 to 297.2","Range of Values",3301,3301,NA
".","Missing",407,3708,NA
