"WTDR2D.Code.or.Value","WTDR2D.Value.Description","WTDR2D.Count","WTDR2D.Cumulative","WTDR2D.Skip.to.Item"
"708.63828227 to 374736.26978","Range of Values",121678,121678,NA
".","Missing",9486,131164,NA
