"OCQ290Q.Code.or.Value","OCQ290Q.Value.Description","OCQ290Q.Count","OCQ290Q.Cumulative","OCQ290Q.Skip.to.Item"
"0 to 24","Range of Values",676,676,NA
"7777","Refused",0,676,NA
"9999","Don't know",0,676,NA
".","Missing",5958,6634,NA
