"AUXRR256.Code.or.Value","AUXRR256.Value.Description","AUXRR256.Count","AUXRR256.Cumulative","AUXRR256.Skip.to.Item"
"-20 to 95","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
