"AUQ320.Code.or.Value","AUQ320.Value.Description","AUQ320.Count","AUQ320.Cumulative","AUQ320.Skip.to.Item"
"1","Always",583,583,NA
"2","Usually",152,735,NA
"3","About half the time",123,858,NA
"4","Seldom",110,968,NA
"5","Never",642,1610,NA
"7","Refused",0,1610,NA
"9","Don't know",3,1613,NA
".","Missing",7751,9364,NA
