"DXXPT9Y.Code.or.Value","DXXPT9Y.Value.Description","DXXPT9Y.Count","DXXPT9Y.Cumulative","DXXPT9Y.Skip.to.Item"
"124.9 to 363.5","Range of Values",3298,3298,NA
".","Missing",410,3708,NA
