"TYXA252.Code.or.Value","TYXA252.Value.Description","TYXA252.Count","TYXA252.Cumulative","TYXA252.Skip.to.Item"
"0.333 to 3.692","Range of Values",138,138,NA
".","Missing",8331,8469,NA
