"TYXP059.Code.or.Value","TYXP059.Value.Description","TYXP059.Count","TYXP059.Cumulative","TYXP059.Skip.to.Item"
"-93 to 141","Range of Values",8468,8468,NA
".","Missing",1,8469,NA
