"MGD050.Code.or.Value","MGD050.Value.Description","MGD050.Count","MGD050.Cumulative","MGD050.Skip.to.Item"
"1","Yes",158,158,NA
"2","No",4620,4778,NA
"7","Refused",3,4781,NA
"9","Don't know",2,4783,NA
".","Missing",3038,7821,NA
