"MCQ268A.Code.or.Value","MCQ268A.Value.Description","MCQ268A.Count","MCQ268A.Cumulative","MCQ268A.Skip.to.Item"
"1","Father",143,143,NA
"7","Refused",0,143,NA
"9","Don't know",1,144,NA
".","Missing",9522,9666,NA
