"ACD070.Code.or.Value","ACD070.Value.Description","ACD070.Count","ACD070.Cumulative","ACD070.Skip.to.Item"
"1","United States, except Puerto Rico",657,657,NA
"2","Puerto Rico",79,736,NA
"3","Cuba",84,820,NA
"4","Mexico",1686,2506,NA
"5","Other country",171,2677,NA
"6","Dominican Republic",67,2744,NA
"77","Refused",0,2744,NA
"99","Don't know",24,2768,NA
".","Missing",4527,7295,NA
