"LBDB12SI.Code.or.Value","LBDB12SI.Value.Description","LBDB12SI.Count","LBDB12SI.Cumulative","LBDB12SI.Skip.to.Item"
"36.9 to 51807.6","Range of Values",8049,8049,NA
".","Missing",1391,9440,NA
