"WTSMSMPA.Code.or.Value","WTSMSMPA.Value.Description","WTSMSMPA.Count","WTSMSMPA.Cumulative","WTSMSMPA.Skip.to.Item"
"77222.153098 to 4835522.4391","Range of Values",251,251,NA
".","Missing",0,251,NA
