"DRABF.Code.or.Value","DRABF.Value.Description","DRABF.Count","DRABF.Cumulative","DRABF.Skip.to.Item"
"1","Yes",1678,1678,NA
"2","No",149313,150991,NA
".","Missing",0,150991,NA
