"DXXPT42X.Code.or.Value","DXXPT42X.Value.Description","DXXPT42X.Count","DXXPT42X.Cumulative","DXXPT42X.Skip.to.Item"
"377.1 to 1016.8","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
