"ALQ150.Code.or.Value","ALQ150.Value.Description","ALQ150.Count","ALQ150.Cumulative","ALQ150.Skip.to.Item"
"1","Yes",878,878,NA
"2","No",3772,4650,NA
"7","Refused",0,4650,NA
"9","Don't know",2,4652,NA
".","Missing",1407,6059,NA
