"DSQTLZ.Code.or.Value","DSQTLZ.Value.Description","DSQTLZ.Count","DSQTLZ.Cumulative","DSQTLZ.Skip.to.Item"
"2.1 to 22690","Range of Values",1021,1021,NA
".","Missing",9128,10149,NA
