"AUXU6KR.Code.or.Value","AUXU6KR.Value.Description","AUXU6KR.Count","AUXU6KR.Cumulative","AUXU6KR.Skip.to.Item"
"-10 to 120","Range of Values",4295,4295,NA
"666","No response",3,4298,NA
"888","Could not obtain",27,4325,NA
".","Missing",257,4582,NA
