"PSQ180.Code.or.Value","PSQ180.Value.Description","PSQ180.Count","PSQ180.Cumulative","PSQ180.Skip.to.Item"
"1","Yes",15,15,""
"2","No",8,23,"PSQ210"
"7","Refused",0,23,"PSQ210"
"9","Don't know",0,23,"PSQ210"
".","Missing",29,52,""
