"DXXPT4X.Code.or.Value","DXXPT4X.Value.Description","DXXPT4X.Count","DXXPT4X.Cumulative","DXXPT4X.Skip.to.Item"
"639.9 to 1223.5","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
