"TYXP001.Code.or.Value","TYXP001.Value.Description","TYXP001.Count","TYXP001.Cumulative","TYXP001.Skip.to.Item"
"162 to 199","Range of Values",8469,8469,NA
".","Missing",0,8469,NA
