"VTQ281B.Code.or.Value","VTQ281B.Value.Description","VTQ281B.Count","VTQ281B.Cumulative","VTQ281B.Skip.to.Item"
"1 to 48","Range of Values",79,79,NA
".","Missing",3368,3447,NA
