"DEX2PSBK.Code.or.Value","DEX2PSBK.Value.Description","DEX2PSBK.Count","DEX2PSBK.Cumulative","DEX2PSBK.Skip.to.Item"
"1","Present",6,6,NA
".","Missing",2986,2992,NA
