"OPDUPPS.Code.or.Value","OPDUPPS.Value.Description","OPDUPPS.Count","OPDUPPS.Cumulative","OPDUPPS.Skip.to.Item"
"0","None",3274,3274,NA
"1","Questionable/incomplete",1,3275,NA
"2","Local",0,3275,NA
"3","Scatter only",14,3289,NA
"4","Scatter + local",2,3291,NA
".","Missing",572,3863,NA
