"BIXC016K.Code.or.Value","BIXC016K.Value.Description","BIXC016K.Count","BIXC016K.Cumulative","BIXC016K.Skip.to.Item"
"21.44 to 345.45","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
