"URDP03LC.Code.or.Value","URDP03LC.Value.Description","URDP03LC.Count","URDP03LC.Cumulative","URDP03LC.Skip.to.Item"
"0","At or above the detection limit",2215,2215,NA
"1","Below lower detection limit",40,2255,NA
".","Missing",94,2349,NA
