"BIXS067K.Code.or.Value","BIXS067K.Value.Description","BIXS067K.Count","BIXS067K.Cumulative","BIXS067K.Skip.to.Item"
"164.37 to 963.49","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
