"LBDRBFSI.Code.or.Value","LBDRBFSI.Value.Description","LBDRBFSI.Count","LBDRBFSI.Cumulative","LBDRBFSI.Skip.to.Item"
"117.8 to 4167.6","Range of Values",8374,8374,NA
".","Missing",1066,9440,NA
