"DR1TTFAT.Code.or.Value","DR1TTFAT.Value.Description","DR1TTFAT.Count","DR1TTFAT.Cumulative","DR1TTFAT.Skip.to.Item"
"0 to 567.96","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
