"PAQ620.Code.or.Value","PAQ620.Value.Description","PAQ620.Count","PAQ620.Cumulative","PAQ620.Skip.to.Item"
"1","Yes",2308,2308,""
"2","No",4837,7145,"PAQ635"
"7","Refused",1,7146,"PAQ635"
"9","Don't know",2,7148,"PAQ635"
".","Missing",2336,9484,""
