"RHQ554.Code.or.Value","RHQ554.Value.Description","RHQ554.Count","RHQ554.Cumulative","RHQ554.Skip.to.Item"
"1","Yes",253,253,""
"2","No",58,311,"RHQ562"
"7","Refused",1,312,"RHQ562"
"9","Don't know",30,342,"RHQ562"
".","Missing",2956,3298,""
