"DXXPT16Y.Code.or.Value","DXXPT16Y.Value.Description","DXXPT16Y.Count","DXXPT16Y.Cumulative","DXXPT16Y.Skip.to.Item"
"171.7 to 399.5","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
