"URDBPMLC.Code.or.Value","URDBPMLC.Value.Description","URDBPMLC.Count","URDBPMLC.Cumulative","URDBPMLC.Skip.to.Item"
"0","At or above the detection limit",1820,1820,NA
"1","Below lower detection limit",576,2396,NA
".","Missing",155,2551,NA
