"URXDAZ.Code.or.Value","URXDAZ.Value.Description","URXDAZ.Count","URXDAZ.Cumulative","URXDAZ.Skip.to.Item"
"0.2 to 29200","Range of Values",2594,2594,NA
".","Missing",103,2697,NA
