"DIQ080.Code.or.Value","DIQ080.Value.Description","DIQ080.Count","DIQ080.Cumulative","DIQ080.Skip.to.Item"
"1","Yes",140,140,NA
"2","No",563,703,NA
"7","Refused",0,703,NA
"9","Don't know",5,708,NA
".","Missing",8656,9364,NA
