"DR1LANG.Code.or.Value","DR1LANG.Value.Description","DR1LANG.Count","DR1LANG.Cumulative","DR1LANG.Skip.to.Item"
"5 to 6","Range of Values",78,78,NA
"1","English",4988,5066,NA
"2","Spanish",248,5314,NA
"3","English and Spanish",38,5352,NA
"4","Other",18,5370,NA
".","Missing",0,5370,NA
