"DR2TP225.Code.or.Value","DR2TP225.Value.Description","DR2TP225.Count","DR2TP225.Cumulative","DR2TP225.Skip.to.Item"
"0 to 0.934","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
