"URXMU4.Code.or.Value","URXMU4.Value.Description","URXMU4.Count","URXMU4.Cumulative","URXMU4.Skip.to.Item"
"0.014 to 2220","Range of Values",2398,2398,NA
".","Missing",107,2505,NA
