"DR2IPROT.Code.or.Value","DR2IPROT.Value.Description","DR2IPROT.Count","DR2IPROT.Cumulative","DR2IPROT.Skip.to.Item"
"0 to 293.4","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
