"AUXR6KR.Code.or.Value","AUXR6KR.Value.Description","AUXR6KR.Count","AUXR6KR.Cumulative","AUXR6KR.Skip.to.Item"
"10 to 100","Range of Values",30,30,NA
"666","No response",4,34,NA
"888","Could not obtain",0,34,NA
".","Missing",4548,4582,NA
