"SXQ706.Code.or.Value","SXQ706.Value.Description","SXQ706.Count","SXQ706.Cumulative","SXQ706.Skip.to.Item"
"1","Yes",782,782,NA
"2","No",1541,2323,NA
"7","Refused",11,2334,NA
"9","Don't know",4,2338,NA
".","Missing",2719,5057,NA
