"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"2725.808655 to 260712.84679","Range of Values",5903,5903,NA
".","Missing",0,5903,NA
