"AUXRR241.Code.or.Value","AUXRR241.Value.Description","AUXRR241.Count","AUXRR241.Cumulative","AUXRR241.Skip.to.Item"
"-32 to 91","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
