"DXXPT29Y.Code.or.Value","DXXPT29Y.Value.Description","DXXPT29Y.Count","DXXPT29Y.Cumulative","DXXPT29Y.Skip.to.Item"
"118.6 to 346.9","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
