"HSQ520.Code.or.Value","HSQ520.Value.Description","HSQ520.Count","HSQ520.Cumulative","HSQ520.Skip.to.Item"
"1","Yes",339,339,NA
"2","No",8111,8450,NA
"7","Refused",3,8453,NA
"9","Don't know",22,8475,NA
".","Missing",947,9422,NA
