"HSQ510.Code.or.Value","HSQ510.Value.Description","HSQ510.Count","HSQ510.Cumulative","HSQ510.Skip.to.Item"
"1","Yes",599,599,NA
"2","No",6913,7512,NA
"7","Refused",10,7522,NA
"9","Don't know",21,7543,NA
".","Missing",823,8366,NA
