"URDECPLC.Code.or.Value","URDECPLC.Value.Description","URDECPLC.Count","URDECPLC.Cumulative","URDECPLC.Skip.to.Item"
"0","At or above the detection limit",2604,2604,NA
"1","Below lower detection limit",1,2605,NA
".","Missing",92,2697,NA
