"WBXA042.Code.or.Value","WBXA042.Value.Description","WBXA042.Count","WBXA042.Cumulative","WBXA042.Skip.to.Item"
"-1.4915 to 0.9999","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
