"LB2DAY.Code.or.Value","LB2DAY.Value.Description","LB2DAY.Count","LB2DAY.Cumulative","LB2DAY.Skip.to.Item"
"3 to 47","Range of Values",550,550,NA
".","Missing",1,551,NA
