"RFXC021.Code.or.Value","RFXC021.Value.Description","RFXC021.Count","RFXC021.Cumulative","RFXC021.Skip.to.Item"
"-7.841 to 5.355","Range of Values",33710,33710,NA
".","Missing",11,33721,NA
