"WBXP044.Code.or.Value","WBXP044.Value.Description","WBXP044.Count","WBXP044.Cumulative","WBXP044.Skip.to.Item"
"-145.4623 to 169.018","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
