"DS2IZINC.Code.or.Value","DS2IZINC.Value.Description","DS2IZINC.Count","DS2IZINC.Cumulative","DS2IZINC.Skip.to.Item"
"0.03762 to 160","Range of Values",1786,1786,NA
".","Missing",3862,5648,NA
