"WTSBA14.Code.or.Value","WTSBA14.Value.Description","WTSBA14.Count","WTSBA14.Cumulative","WTSBA14.Skip.to.Item"
"0 to 364881.46949","Range of Values",946,946,NA
".","Missing",65,1011,NA
