"SSDP3_N.Code.or.Value","SSDP3_N.Value.Description","SSDP3_N.Count","SSDP3_N.Cumulative","SSDP3_N.Skip.to.Item"
"9.59 to 204","Range of Values",1763,1763,NA
".","Missing",15,1778,NA
