"DXXSQSCR.Code.or.Value","DXXSQSCR.Value.Description","DXXSQSCR.Count","DXXSQSCR.Cumulative","DXXSQSCR.Skip.to.Item"
"0 to 3","Range of Values",3242,3242,NA
".","Missing",466,3708,NA
